index,quote_text
7582,"Look, then, into thine heart, and write!"
7663,"Every great poem is in itself limited by necessity, — but in its suggestions unlimited and infinite."
7670,"Singing the Hundredth Psalm, the grand old Puritan anthem."
7787,When all of genius which can perish dies.
7845,"God is the perfect poet, Who in his person acts his own creations."
7886,"Oh their Rafael of the dear Madonnas,Oh their Dante of the dread Inferno,Wrote one song—and in my brain I sing it;Drew one angel—borne, see, on my bosom!"
7959,"His lockèd, lettered, braw brass collar Showed him the gentleman an' scholar."
8065,"Inspiring bold John Barleycorn! What dangers thou canst make us scorn! Wi' tippenny, we fear nae evil; Wi' usquabae, we'll face the devil!"
8124,What is pride? A whizzing rocket That would emulate a star.
8155,"One impulse from a vernal wood May teach you more of man, Of moral evil and of good, Than all the sages can."
8156,"O Reader! had you in your mind Such stores as silent thought can bring, O gentle Reader! you would find A tale in everything."
8241,"Yet sometimes, when the secret cup Of still and serious thought went round, It seemed as if he drank it up, He felt with spirit so profound."
8287,"The keen spirit Seizes the prompt occasion, makes the thought Start into instant action, and at once Plans and performs, resolves and executes!"
8389,"Great men are the inspired (speaking and acting) texts of that divine Book of Revelations, wherof a chapter is completed from epoch to epoch, and by some named History."
8396,"Not only was Thebes built by the music of an Orpheus; but without the music of some inspired Orpheus was no city ever built, no work that man glories-in ever done."
8412,Literature is the Thought of thinking Souls.
8464,"Genius is 'the inspired gift of God.' It is the clearer presence of God Most High in a man. Dim, potential in all men; in this man it has become clear, actual."
8492,Where the bright seraphim in burning rowTheir loud uplifted angel trumpets blow.
8493,"A poet soaring in the high reason of his fancies, with his garland and singing robes about him."
8498,Let not England forget her precedence of teaching nations how to live.
8802,"If you cannot inspire a woman with love of you, fill her above the brim with love of herself;— all that runs over will be yours."
8808,"Let each man think himself an act of God,His mind a thought, his life a breath of God;And let each try, by great thoughts and good deeds,To show the most of Heaven he hath in him."
8841,"Some for renown, on scraps of learning dote,And think they grow immortal as they quote."
8930,Tew bring up a child in the wa he should go&mdash;travel that wa yourself.
8940,Poverty is the stepmother of genius.
9108,"Music, the greatest good that mortals know,And all of heaven we have below."
9109,"Music religious heat inspires, It wakes the soul, and lifts it high, And wings it with sublime desires, And fits it to bespeak the Deity."
9185,"Books are the legacies that a great genius leaves to mankind, which are delivered down from generation to generation, as presents to the posterity of those who are yet unborn."
9246,Envy is a kind of praise.
9428,"If we consider women whose lot it is to inspire deep affection, we shall sometimes find them, not those who can most generously bestow, but those who can most generously receive."
9442,An apothecary should never be out of spirits.
9555,All words are pegs to hang ideas upon.
9557,Genius is a steed too fiery for the plow or cart.
9574,"Whatever this is that I am, it is flesh and a little spirit and an intelligence. (Hays translation)"
9674,"Look within. Within is the fountain of the good, and it will ever bubble up, if thou wilt ever dig."
9963,Human history is in essence a history of ideas.
10004,"What is wonderful about great literature is that it transforms the man who reads it towards the condition of the man who wrote, and brings to birth in us also the creative impulse."
10041,"He came in sight of a pass guarded by armed men. 'you cannot pass … Do you not know that all this country belongs to the Spirit of the Age? … Here Enlightenment, take this fugitive to our Master.'"
10262,"hen he came out of the anaesthetic the first thing he said was, 'What a man Ernesto would be if he could only write.'"
10423,If Dickens were alive to-day he would make a trip to Soviet Russia and come back with a book rather like Gide's Retour de L'URSS.
10513,Improvement makes straight roads; but the crooked roads without improvement are roads of genius.
10576,"If you have formed a circle to go into,Go into it yourself and see how you would do."
10597,This world of imagination is the world of eternity.
10622,"""Maybe Christmas..."", he thought, ""...Doesn't come from a store."" ""Maybe Christmas... perhaps... means a little bit more!"""
10748,"The people I choose to admire are not necessarily popular, not necessarily terribly well known, but they each have something to offer me, a lesson, a cautionary tale, an idea, an inspiration."
10873,"Instruction does much, but encouragement everything."
10880,"Let the noble man Be generous and good, Tirelessly achieving What is just and useful: Let him be a model For those beings whom he surmises."
10896,Seeking with the soul the land of the Greeks.
10966,"The peasant must always be helped technically, economically, morally, and culturally. The guerrilla fighter will be a sort of guiding angel who has fallen into the zone, helping the poor always."
11048,"There are people who barely feel poetry, and they are generally dedicated to teaching it."
11090,Mankind was never so happily inspired as when it made a cathedral.
11121,"""I am in the habit,"" replied the Prince, ""of looking not so much to the nature of a gift as to the spirit in which it is offered."""
11368,Let every man look before he leaps.
11435,The devil is an angel too.
11527,... an initial underscore already conveys strong feelings of magicalness to a C programmer.
11547,"I want to see people using Perl to glue things together creatively, not just technically but also socially."
11678,Perhaps you should compile your Perl with long doubles one of these megaseconds.
11680,Maybe we should take a clue from FTP and put in an option like 'print hash marks on every 1024 iterations'.
11719,stab_val(stab)-&gt;str_nok = 1; /* what a wonderful hack! */
11836,"Call the world if you please ""The vale of soul-making."""
11885,"The music, yearning like a God in pain."
11936,you to SAG-AFTRA for honoring me with this prize; this is very encouraging.
12022,Tradition is a guide and not a jailer.
12180,"The best books are those, which those who read them believe they themselves could have written."
12193,Our democracy must be not only the envy of the world but the engine of our own renewal. There is nothing wrong with America that cannot be cured by what is right with America.
12200,"Shakespeare wrote, Einstein thought, Atatürk built."
12202,"You know, if I were a single man, I might ask that mummy out. That's a good-looking mummy."
12217,The world has always been more impressed by the power of our example than by the example of our power.
12224,Hillary opened my eyes to a whole new world of public service by private citizens.
12504,Society: an inferno of saviors!
12858,"When we have no further desire to show ourselves, we take refuge in music, the Providence of the abulic."
12939,... ingenuity was apparently given man in order that he may supply himself in crisis with shapes and sounds with which to guard himself from truth.
13262,"Genius must be born, and never can be taught."
13267,"He was exhaled; his great Creator drewHis spirit, as the sun the morning dew."
13441,&nbsp;&nbsp; Who can cease to admireThe ploughman consul in his coarse attire?
13549,"Live then, thou great encourager of arts!Live ever in our thankful hearts."
13635,"My power was but a woman's power;Yet, in that great and glorious dowerWhich Genius gives, I had my part:I poured my full and burning heart"
13650,"Thrice hallowed shrineOf the heart's intercourse, our own fireside!"
13972,Statues to whose rest seem'd givenNot the life of earth but heaven ;For each statue here enshrinedWhat in the immortal mindMakes its beauty and its power —Genius's eternal dower :
13988,"The imagination, which is the source of poetry, has in every country been the beginning as well as the ornament of civilization. It civilizes because it refines."
14004,"In childhood, the impetus of conversation is curiosity. The child talks to ask questions. But one of its first lessons, as it advances, is that a question is an intrusion, and an answer a deceit."
14023,"It is amazing how much our admiration takes its tone from the admiration of others; and when to that is added an obvious admiration of ourselves, the charm is irresistible."
14139,"I hate the day, because it lendeth light To see all things, but not my love to see."
14296,"In first class, you count on your fellow passengers to make you feel good about yourself. You're supposed to look around with pride, telling yourself that these are your kind of people."
14406,To write a verse or two is all the praiseThat I can raise.
14413,"A verse may finde him,who a sermon fliesAnd turns delight into a sacrifice"
14482,We Italians owe something to Elvis Presley: it's one of the rare occasions when we prefer to be Italian rather than American.
14501,:Cf. The Shining (1980 film)
14599,You get ideas from daydreaming. You get ideas from being bored. You get ideas all the time. The only difference between writers and other people is we notice when we're doing it.
14605,"I wish I had an origin story for you. When I was four, I was bitten by a radioactive myth."
14623,"Gods die. And when they truly die they are unmourned and unremembered. Ideas are more difficult to kill than people, but they can be killed, in the end."
14742,"Good actions give strength to ourselves, and inspire good actions in others."
15061,"Because Dickens and Dostoyevsky and Woody Guthrie were telling their stories much better than I ever could, I decided to stick to my own mind."
15063,a poem is a naked person . . . some people say that I am a poet
15083,People today are still living off the table scraps of the sixties. They are still being passed around — the music and the ideas.
15193,Imagination will often carry us to worlds that never were. But without it we go nowhere.
15243,"If we crave some cosmic purpose, then let us find ourselves a worthy goal."
