index,quote_text
4973,"He says that even a god cannot conquer time, but nine hundred years should be enough for anybody."
4994,History is a story without an end.
5040,"cientists have pushed back the horizon of time from the biblical 6,000 years to 4,600,000,000 years for the age of Earth—a 760,000-fold increase."
5090,There is nothing so eternally adhesive as the memory of power.
5144,"It is the invariable lesson to humanity that distance in time, and in space as well, lends focus. It is not recorded, incidentally, that the lesson has ever been permanently learned."
5155,"At odd and unpredictable times, we cling in fright to the past."
5163,Old memories - really old - are almost all in the mountain roots where it takes time to dig them out.
5173,There is too much history and there is too little of it that is told.
5184,Seldon found himself raging at the passage of time.
5249,"You know you're brilliant, but maybe you'd like to understand what you did 2 weeks from now."
5452,"Eight years involved with the nuclear industry have taught me that when nothing can possibly go wrong and every avenue has been covered, then is the time to buy a house on the next continent."
5513,Any time seems long when you need to make a decision but can't.
5534,"Ten thousand years wasn't enough...no lifetime was enough, unless you lived it in such a way as to make it enough."
5535,Time is a one-way street with no parking spaces. You just have to keep going.
5550,The test of time has at least the virtue of being unambiguous.
5652,11) There is a time and place for tact. And there are times when tact is entirely misplaced.
5658,4) It is a sin to waste the reader's time.
5666,"'There is a season for everything, patience will reward you and reveal all answers to your questions.'"
5683,"If the Romans had been obliged to learn Latin, they would never have found time to conquer the world."
5712,"There is no such hour on the present clock as 6:30, New York time. Yet, as only New Yorkers know, if you can get through the twilight, you'll live through the night."
5725,"I thought that was going to be a good song, too, and then they went and rhymed ""time"" and ""Rhine,"" and spoiled everything. p. 24"
5807,"The river of my title is a river of DNA, and it flows through time, not space. It is a river of information, not a river of bones and tissues."
5882,Today is the last day of an era past.
5918,"To me every hour of the light and dark is a miracle,Every cubic inch of space is a miracle."
6023,"Employers will give time to eat, time to sleep; they are in terror of a time to think."
6052,There will be time to murder and create.
6054,"And indeed there will be timeTo wonder, ""Do I dare?"" and, ""Do I dare?"""
6072,"Twelve o'clock.Along the reaches of the streetHeld in lunar synthesis,Whispering lunar incantationsDissolve the floors of memoryAnd all its clear relations,Its divisions and precisions."
6108,Redeem The time. Redeem The unread vision in the higher dream While jewelled unicorns draw by the gilded hearse.
6126,Our age is an age of moderate virtue And moderate vice
6140,"He always has an alibi, and one or two to spare: At whatever time the deed took place- Macavity wasn't there."
6151,"Bugsby's reach is long as time, His reach is wide as wind is, He can pick you nettles in Greenwich Marsh And docks in the East Indies."
6181,"I have lived an honest and useful life to mankind; my time has been spend in doing good and I die in perfect composure and resignation to the will of my Creator, God."
6254,One luminary clock against the sky Proclaimed the time was neither wrong nor right. I have been one acquainted with the night.
6282,"We can't appraise the time in which we act. But for the folly of it, let's pretend We know enough to know it for adverse."
6317,"At certain epochs in history, the whole human race, from all points of the earth, fix their eyes upon some mysterious spot whence it seems that universal destiny is about to issue. Book I, VI"
6506,"My father Time is weak and gray With waiting for a better day; See how idiot-like he stands, Fumbling with his palsied hands!"
6573,"Time is the father of truth, its mother is our mind."
6602,"Of this stamp is the cant of, Not men, but measures."
6686,Our patience will achieve more than our force.
6951,We celebrate the past to awaken the future.
6966,"We must use time as a tool, not as a couch."
6981,The time to repair the roof is when the sun is shining — by filling three basic gaps in our anti-recession protection.
7096,Time's a strange fellow; more he gives than takes (and he takes all)
7112,the cunning the craven ... they live for until though the sun in his heaven says Now
7212,"If someone is merely ahead of his time, it will catch up to him one day."
7284,"It is wonderful how much time good people spend fighting the devil. If they would only expend the same amount of energy loving their fellow men, the devil would die in his own tracks of ennui."
7353,Fortune is not satisfied with inflicting one calamity.
7385,It takes a long time to bring excellence to maturity.
7454,"Tell me the tales that to me were so dear, Long, long ago, long, long ago."
7578,"This is the place. Stand still, my steed,—Let me review the scene,And summon from the shadowy pastThe forms that once have been."
7614,"For Time will teach thee soon the truth,There are no birds in last year's nest!"
7629,"Not from the grand old masters,Not from the bards sublime,Whose distant footsteps echoThrough the corridors of Time."
7639,"All are architects of Fate,Working in these walls of Time."
7658,"Time has laid his handUpon my heart, gently, not smiting it,But as a harper lays his open palmUpon his harp, to deaden its vibrations."
7698,There is no greater sorrowThan to be mindful of the happy timeIn misery.
7725,"And if we do but watch the hour, There never yet was human powerWhich could evade, if unforgiven, The patient search and vigil longOf him who treasures up a wrong."
7727,The best of prophets of the future is the past.
7752,A man must serve his time to every tradeSave censure — critics are ready-made.
7784,"So gleams the past, the light of other days,Which shines, but warms not with its powerless rays."
7863,When is man strong until he feels alone?
7928,"Was there nought better than to enjoy?No feat which, done, would make time break,And let us pent-up creatures throughInto eternity, our due?No forcing earth teach heaven's employ?"
7948,"All in this mottie, misty clime, I backward mus'd on wasted time, How I had spent my youthfu' prime An' done nae-thing, But stringing blethers up to rhyme For fools to sing."
7998,"This day, Time winds th' exhausted chain, To run the twelvemonth's length again."
8018,"The wan moon sets behind the white wave, And time is setting with me, Oh."
8063,Nae man can tether time or tide.
8064,"That hour, o' night's black arch the keystane."
8083,"Sweet childish days, that were as long As twenty days are now."
8134,These feeble and fastidious times.
8143,"On a fair prospect some have looked, And felt, as I have heard them say, As if the moving time had been A thing as steadfast as the scene On which they gazed themselves away."
8312,"Sad, sad to think that the year is all but done."
8374,"The stupendous Fourth Estate, whose wide world-embracing influences what eye can take in?"
8392,"As the Swiss inscription says: Sprechen ist silbern, Schweigen ist golden— ""Speech is silvern, Silence is golden""; or, as I might rather express it: speech is of time, silence is of eternity."
8405,History a distillation of Rumour.
8410,Under all speech that is good for anything there lies a silence that is better. Silence is deep as Eternity; speech is shallow as Time.
8446,"In books lies the soul of the whole Past Time; the articulate audible voice of the Past, when the body and material substance of it has altogether vanished like a dream."
8453,One life; a little gleam of Time between two Eternities; no second chance to us for evermore!
8485,"How soon hath Time, the subtle thief of youth,Stol'n on his wing my three-and-twentieth year!"
8532,Time will run back and fetch the Age of Gold.
8569,"Under the opening eyelids of the morn,We drove afield; and both together heardWhat time the gray-fly winds her sultry horn,Batt'ning our flocks with the fresh dews of night."
8742,To spend the time luxuriously&nbsp;&nbsp;Becomes not men of worth.
8824,In records that defy the tooth of time.
8836,Time elaborately thrown away.
8859,The bell strikes one. We take no note of timeBut from its loss.
8865,Procrastination is the thief of time.
8874,"Time flies, death urges, knells call, Heaven invites,Hell threatens."
9034,Reason is a very light rider and easily shook off.
9279,"hath triumphed over time, which besides it nothing but eternity hath triumphed over."
9431,"A man's world, but woman bides her time."
9546,The first hour of the morning is the rudder of the day.
9576,"There is a limit to the time assigned you, and if you don't use it to free yourself it will be gone and never return. (Hays translation)"
9615,"How much time he gains who does not look to see what his neighbor says or does or thinks, but only at what he does himself, to make it just and holy."
9621,You're better off not giving the small things more time than they deserve. (Hays translation)
9627,"Time is a sort of river of passing events, and strong is its current; no sooner is a thing brought to sight than it is swept by and another takes its place, and this too will be swept away."
9721,"Constantly contemplate the whole of time and the whole of substance, and consider that all individual things as to substance are a grain of a fig, and as to time the turning of a gimlet."
9760,"Find time still to be learning somewhat good, and give up being desultory."
9761,"Be not as one that hath ten thousand years to live; death is nigh at hand: while thou livest, while thou hast time, be good."
9932,In England we have come to rely upon a comfortable time lag of fifty years or a century intervening between the perception that something ought to be done and a serious attempt to do it.
10012,"Long books, when read, are usually overpraised, because the reader wants to convince others and himself that he has not wasted his time."
10048,"The wraith of Sigmund said. ""You know what this is, I suppose. Religious melancholia. Stop while there is time. If you dive, you dive into insanity."""
10061,"Humans are amphibians — half spirit and half animal.... As spirits they belong to the eternal world, but as animals they inhabit time."
10065,The humans live in time but our Enemy (God) destines them for eternity.
10067,Courtship is the time for sowing those seeds which will grow up ten years into domestic hatred.
10090,"Though the Witch knew the Deep Magic, there is a magic deeper still which she did not know. Her knowledge goes back only to the dawn of Time."
10102,"Now, to-day, this moment, is our chance to choose the right side. God is holding back to give us that chance. It will not last for ever. We must take it or leave it."
10110,"Enough had been thought, and said, and felt, and imagined. It was about time that something should be done."
10225,Now is no time to think of what you do not have. Think of what you can do with what there is.
10357,In my small way I have been fighting for years against the systematic faking of history which now goes on.
10495,Eternity is in love with the productions of time.
10574,"Time is the mercy of Eternity; without Time's swiftness Which is the swiftest of all things, all were eternal torment."
11031,"Besides, time, which despoils castles, enriches verses . . . Time broadens the scope of verses and I know of some which, like music, are everything for all men."
11034,His many years had reduced and polished him the way water smooths and polishes a stone or generations of men polish a proverb.
11042,"Time can't be measured in days the way money is measured in pesos and centavos, because all pesos are equal, while every day, perhaps every hour, is different."
11045,Being with you and not being with you is the only way I have to measure time.
11052,I will pause to consider this eternity from which the subsequent ones derive.
11067,A labyrinth of symbols... An invisible labyrinth of time.
11071,Time forks perpetually toward innumerable futures. In one of them I am your enemy.
11085,There is a flavor that our time (perhaps surfeited by the clumsy imitations of professional patriots) does not usually perceive without some suspicion: the fundamental flavor of the heroic.
11219,Every moment celebrates obsequies over the virtues of its predecessor.
11281,Fortune leaves always some door open to come at a remedy.
11333,Delay always breeds danger.
11393,"I drink when I have occasion, and sometimes when I have no occasion."
11398,"There is a time for some things, and a time for all things; a time for great things, and a time for small things."
11399,But all in good time.
11458,"Nothing is lost, nothing wholly passes away, for in some way or another everything is perpetuated; and everything, after passing through time, returns to eternity."
11469,"And killing time is perhaps the essence of comedy, just as the essence of tragedy is killing eternity."
11632,You don't have to wait--you can have it in 5.004_54 or so.
11638,People who understand context would be steamed to have someone else dictating how they can call it.
11763,When's the last time you used duct tape on a duct?
11803,"Time is on the side of the oppressed today, it's against the oppressor. Truth is on the side of the oppressed today, it's against the oppressor. You don't need anything else."
11857,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Time, that aged nurse,Rocked me to patience."
11910,Everywhere is walking distance if you've got the time.
12008,I would sooner read a time-table or a catalogue than nothing at all. ... They are much more entertaining than half the novels that are written.
12078,Three minutes' thought would suffice to find this out; but thought is irksome and three minutes is a long time.
12188,"As the painter needs his framework of parchment, the improvising musical group needs its framework in time."
12267,"I sleep and I unsleep. On the other side of me, beyond where I lie down, the silence of the house touches infinity. I hear time falling, drop by drop, and no falling drop is heard falling."
12350,Wasting time has an esthetics to it.
12420,All that time is lost which might be better employed.
12463,Time is heavy sometimes; imagine how heavy eternity must be.
12521,Ennui is the echo in us of time tearing itself apart.
12547,History proves nothing because it contains everything.
12572,Awareness of time: assault on time . . .
12610,"What does the future, that half of time, matter to the man who is infatuated with eternity?"
12649,Isn't history ultimately the result of our fear of boredom?
12690,There was a time when time did not yet exist. ... The rejection of birth is nothing but the nostalgia for this time before time.
12708,"The feeling of being ten thousand years behind, or ahead, of the others, of belonging to the beginnings or to the end of humanity..."
12738,"This very second has vanished forever, lost in the anonymous mass of the irrevocable. It will never return. I suffer from this and I do not. Everything is unique — and insignificant."
12748,"I do nothing, granted. But I see the hours pass — which is better than trying to fill them."
12791,"In the hours without sleep, each moment is so full and so vacant that it suggests itself as a rival of Time."
12918,Why that's a hundred miles away. That's a long way to go just to eat.
12925,"A man is the sum of his misfortunes. One day you'd think misfortune would get tired, but then time is your misfortune."
12926,Clocks slay time. ... Time is dead as long as it is being clicked off by little wheels; only when the clock stops does time come to life.
13047,"Anger, when it is long in coming, is the stronger when it comes, and the longer kept."
13181,It is never too late to be what you might have been.
13201,By candle-light nobody would have taken you for above five-and-twenty.
13272,"The Famous Rules which the French call, Des Trois Unités, or, The Three Unities, which ought to be observ'd in every Regular Play; namely, of Time, Place, and Action."
13384,"A very merry, dancing, drinking,Laughing, quaffing, and unthinkable time."
13406,"Time has made you dote, and vainly tellOf arms imagined in your lonely cell:Go! be the temple and the gods your care;Permit to men the thought of peace and war."
13407,"Time seems not now beneath his years to stoop,Nor do his wings with sickly feathers droop."
13414,"O'er whom Time gently shakes his wings of down,Till with his silent sickle they are mown."
13418,"These I wielded while my bloom was warm,Ere age unstrung my nerves, or time o'er-snow'd my head."
13555,"If but a mile she travel out of town,The planetary hour must first be known,And lucky moment, if her eye but akes,Or itches, its decumbiture she takes."
13568,"Saint Andre's feet ne'er kept more equal time,Not ev'n the feet of thy own Psyche's rhyme;Though they in numbers as in sense excel,So just, so like tautology, they fell."
13588,"No more accuse thy pen, but charge the crimeOn native sloth, and negligence of time."
13688,During slumber's magic reignOther times shall live again;
13748,"When years have pastOver the fallen arch, the ruin'd hall,It seems but course of time, the one great doom,Whose influence is alike upon us all;"
13768,"Are we not like that actor of old time,Who wore his mask so long his face tookIts likeness?"
13770,"For wishes are effectual but by will,And that too much is impotent and voidIn frail humanity; and time steals bySinful and wavering, and unredeem'd."
13777,"Another year, another year,—Alas! and must it beThat Time's most dark and weary wheelMust turn again for me?"
13832,"The past! ah, we owe it a tenderer debt,Heaven's own sweetest mercy is not to forget;Its influence softens the present, and flingsA grace, like the ivy, wherever it clings."
13843,Night came—the deep and purple timeOf summer in a southern clime.
13882,Expectation makes a long delay.
13891,The Little Boy's Bed-Time See under Translations
13974,"Now out upon you, Christmas !Is this the merry time When the red hearth blazed, the harper sung,And the bells rung their glorious chime ? . . ."
13996,A London day requires to be well aired before it is ventured into.
14018,"Time is the great leveller, but he is also the sanctifier and the beautifier."
14058,Like a human thought in questOf a future hour.
14065,"Time past on as lightly as he always steps over flowers, Brussels carpets, marble terraces, green turfs, or whatever simile may best express a path without an impediment."
14104,"The timid temper lives in perpetual terror, the nobler one braces itself to endure when ever the appointed time shall come."
14141,"I was promised on a time To have reason for my rhyme; From that time unto this season, I received nor rhyme nor reason."
14158,"Tell her the joyous Time will not be staid, Unlesse she doe him by the forelock take."
