index,quote_text
6312,The best way to worship God is to love your wife.
6313,"To love or to have loved, that is enough. Ask nothing further. There is no other pearl to be found in the dark folds of life. To love is a consummation."
6353,"All thoughts, all passions, all delights, Whatever stirs this mortal frame, All are but ministers of Love, And feed his sacred flame."
6358,"But the Lark is so brimful of gladness and love, The green fields below him, the blue sky above, That he sings, and he sings; and for ever sings he— 'I love my Love, and my Love loves me!'"
6362,"And in Life's noisiest hour, There whispers still the ceaseless Love of Thee, The heart's Self-solace and soliloquy. You mould my Hopes, you fashion me within."
6363,"And looking to the Heaven, that bends above you, How oft! I bless the Lot, that made me love you."
6367,"To know, to esteem, to love—and then to part,Makes up life's tale to many a feeling heart!"
6369,"With Donne, whose muse on dromedary trots, Wreathe iron pokers into true-love knots; Rhyme's sturdy cripple, fancy's maze and clue, Wit's forge and fire-blast, meaning's press and screw."
6373,"Flowers are lovely; love is flower-like; Friendship is a sheltering tree;Oh the joys that came down shower-like,Of friendship, love, and liberty,Ere I was old!"
6375,In many ways doth the full heart reveal The presence of the love it would conceal.
6445,Chameleons feed on light and air: Poets' food is love and fame.
6446,Fame is love disguised.
6480,"Heaven's ebon vault, Studded with stars unutterably bright, Through which the moon's unclouded grandeur rolls, Seems like a canopy which love has spread To curtain her sleeping world."
6485,"Love is free: to promise for ever to love the same woman, is not less absurd than to promise to believe the same creed: such a vow in both cases, excludes us from all enquiry."
6489,"A wild dissolving bliss Over my frame he breathed, approaching near, And bent his eyes of kindling tenderness Near mine, and on my lips impressed a lingering kiss."
6533,"Love's very pain is sweet, But its reward is in the world divine Which, if not here, it builds beyond the grave."
6534,"And bid them love each other and be blest: And leave the troop which errs, and which reproves, And come and be my guest, — for I am Love's."
6556,"I love Love — though he has wings, And like light can flee, But above all other things, Spirit, I love thee — Thou art love and life! Oh come, Make once more my heart thy home."
6606,"To tax and to please, no more than to love and to be wise, is not given to men."
6782,"Recognizing the equality of all men and women, we are willing and able to lift the weak, cradle those who hurt, and nurture the bonds that tie us together as one nation under God."
6819,"Underneath it all, you longed to be annihilated by love..."
6842,It takes a spasm of love to write a poem.
6845,"Love is love, but marriage is an investment."
6848,Loving someone is a loss of freedom -- but one doesn't think of it as loss because one gains so much else.
6857,Pain is not love. Love flowers; love gives without taking; love is serene and calm.
6860,It is our old love I love.
6863,I am not sure if love is a salve or just a deeper kind of wound.
6864,"...I am sure that when we love we are better than ourselves and when we hate, worse."
6868,Hate generalizes; love is particular.
6869,"Because I loved myself, I was loved."
6876,The human need for companionship and sexuality is far stronger than any intellectual theory
6895,"Ah! Whither, whither shall I fly,A poor unhappy Maid;To hopeless Love and MiseryBy my own Heart betray'd?"
6899,"In my conscience I believe the baggage loves me, for she never speaks well of me herself, nor suffers any body else to rail at me."
6902,"If this be not love, it is madness, and then it is pardonable."
6923,"Love's but a frailty of the mind,When 'tis not with ambition joined."
6924,"If there's delight in love, 'tis when I see That heart which others bleed for, bleed for me."
6933,"Oh the crap that lies lurking in the English soul. Somewhere it, the English soul, received an injection of romanticism which nearly killed it."
7041,"love is the voice under all silences,the hope which has no opposite in fear;the strength so strong mere force is feebleness:the truth more first than sun, more last than star"
7044,All in green went my love riding on a great horse of gold into the silver dawn.
7064,and nothing quite so least as truth —i say though hate were why men breathe— because my father lived his soul love is the whole and more than all
7065,love is the every only god
7066,love is more thicker than forget...it is more sane and sunly and more it cannot diethan all the sky which only is higher than the sky
7067,measureless our pure living complete love whose doom is beauty and its fate to grow
7075,"'and liars kill their kind but' her,my 'love creates love only' our"
7076,"nothing false and possible is love (who's imagined, therefore limitless) love's to giving as to keeping's give; as yes is to if, love is to yes"
7077,true lovers in each happening of their hearts live longer than all which and every who
7078,yes is a pleasant country... love is a deeper season than reason
7082,"What concerns me fundamentaly is a meteoric burlesk melodrama, born of the immemorial adage love will find a way."
7085,"i feel that(false and true are merely to know) Love only has ever been,is,and will ever be,So"
7090,"—the great my darling happens to be that love are in we, that love are in we"
7093,no evil is so worse than worst you fall in hate with love —human one mortally immortal i can turn immense all time's because to why
7102,lovers alone wear sunlight
7103,The whole truth... sings only —and all lovers are the song
7107,"it's love by whom (my beautiful friend) the gift to live is without until: ...love was and shall be this only truth (a dream of a deed, born not to die)"
7116,all which isn't singing is mere talking ... and all talking's to oneself alone but the very song of(as mountains feel and lovers)singing is silence
7119,the axis of the universe —love
7222,Aim at being loved without being admired.
7277,"Now, so far as I can judge, self-love is the root of all evil"
7320,There is no penalty attached to a lover's oath.
7321,The anger of lovers renews the strength of love.
7443,I saw and loved.
7444,"I sighed as a lover, I obeyed as a son."
7473,"Love seldom haunts the breast where learning lies, And Venus sets ere Mercury can rise."
7477,How vast a memory has Love!
7599,"Something the heart must have to cherish, Must love and joy and sorrow learn;Something with passion clasp, or perish And in itself to ashes burn."
7665,"Love makes its record in deeper colors as we grow out of childhood into manhood; as the Emperors signed their names in green ink when under age, but when of age, in purple."
7682,"Stronger than steel is the sword of the Spirit;Swifter than arrows, the light of the truth;Greater than anger is love that subdueth."
7700,"When age chills the blood, when our pleasures are past—For years fleet away with the wings of the dove— The dearest remembrance will still be the last,Our sweetest memorial the first kiss of love."
7735,"My days are in the yellow leaf;The flowers and fruits of Love are gone;The worm — the canker, and the griefAre mine alone!"
7743,It is the hour when from the boughs The nightingale's high note is heard;It is the hour when lovers' vows Seem sweet in every whisper'd word.
7772,"The cold in clime are cold in blood, Their love can scarce deserve the name."
7792,"And to his eyeThere was but one beloved face on earth, And that was shining on him."
7793,"She was his life,The ocean to the river of his thoughts, Which terminated all."
7804,"So, we'll go no more a rovingSo late into the night,Though the heart be still as loving,And the moon be still as bright."
7805,"For the sword outwears its sheath,And the soul wears out the breast,And the heart must pause to breathe,And love itself have rest."
7809,"His heart was one of those which most enamour us,Wax to receive, and marble to retain:He was a lover of the good old school,Who still become more constant as they cool."
7832,"We loved, sir — used to meet: How sad and bad and mad it was — But then, how it was sweet!"
7834,Womanliness means only motherhood; All love begins and ends there.
7839,"The moment eternal — just that and no more — When ecstasy's utmost we clutch at the core While cheeks burn, arms open, eyes shut and lips meet!"
7872,"Take away love, and our earth is a tomb!"
7919,"O woman-country! wooed not wed,Loved all the more by earth's male-lands,Laid to their hearts instead."
7922,"Only I discernInfinite passion, and the painOf finite hearts that yearn."
7939,Can we love but on condition that the thing we love must die?
7975,There's some are fou o' love divine; There's some are fou o' brandy.
8050,"But to see her was to love her; Love but her, and love for ever. Had we never lov'd sae kindly, Had we never lov'd sae blindly, Never met—or never parted, We had ne'er been broken-hearted."
8079,"I travelled among unknown men, In lands beyond the sea; Nor, England! did I know till then What love I bore to thee."
8082,"She gave me eyes, she gave me ears; And humble cares,and delicate fears; A heart, the fountain of sweet tears; And love, and thought, and joy."
8114,"He sang of love, with quiet blending, Slow to begin, and never ending; Of serious faith, and inward glee; That was the song,—the song for me!"
8116,"Love had he found in huts where poor men lie; His daily teachers had been woods and rills, The silence that is in the starry sky, The sleep that is among the lonely hills."
8130,"True beauty dwells in deep retreats, Whose veil is unremoved Till heart with heart in concord beats, And the lover is beloved."
8158,"What fond and wayward thoughts will slide Into a lover's head! ""O mercy!"" to myself I cried, ""If Lucy should be dead!"""
8159,"She dwelt among the untrodden ways Beside the springs of Dove, A maid whom there were none to praise And very few to love:"
8175,"And you must love him, ere to you He will seem worthy of your love."
8203,"But who, if he be called upon to face Some awful moment to which Heaven has joined Great issues, good or bad for human kind, Is happy as a Lover."
8212,"Mightier far Than strength of nerve or sinew, or the sway Of magic potent over sun and star, Is Love, though oft to agony distrest, And though his favorite seat be feeble woman's breast."
8262,"Blessings be with them, and eternal praise, Who gave us nobler loves, and nobler cares!— The Poets, who on earth have made us heirs Of truth and pure delight by heavenly lays."
8276,"A Briton even in love should be A subject, not a slave!"
8320,"This is eternal life; a life of everlasting love, showing itself in everlasting good works; and whosoever lives that life, he lives the life of God, and hath eternal life."
8321,"The righteousness which is by faith in Christ is a loving heart and a loving life, which every man will long to lead who believes really in Jesus Christ."
8338,"For love is ever the beginning of Knowledge, as fire is of light."
8349,A poet without love were a physical and metaphysical impossibility.
8355,Love is ever the beginning of Knowledge as fire is of light.
8363,A loving heart is the beginning of all knowledge.
8390,Love not Pleasure; love God.
8519,"The end of learning is to know God, and out of that knowledge to love Him and imitate Him."
8526,"License they mean when they cry, Liberty!For who loves that must first be wise and good."
8593,"Ambition is like love, impatient Both of delays and rivals."
8594,"WhatsoeverIs worthy of their love, is worth their anger."
8665,"It seemed to be pretty plain, that they had more of love than matrimony in them."
8676,All his faults are such that one loves him still the better for them.
8683,"The bashful virgin's sidelong looks of love,The matron's glance that would those looks reprove."
8704,"Thou source of all my bliss, and all my woe,That found'st me poor at first, and keep'st me so."
8739,"&nbsp;&nbsp;Pity is sworn servant unto love;And thus be sure, wherever it beginTo make the way, it lets the master in."
8753,"Jewels, orators of Love."
8798,"A feast is more fatal to love than a fast, and a surfeit than a starvation."
8815,"Poets are all who love, who feel great truths,And tell them; and the truth of truths is love."
8820,Respect is what we owe; love what we give.
8832,"As Love alone can exquisitely bless,Love only feels the marvellous of pain;Opens new veins of torture in the soul,And wakes the nerve where agonies are born."
8935,"Love is like the measles; we can't have it bad but once, and the later in life we have it the tougher it goes with us."
9123,"Love is not to be reason'd down, or lostIn high ambition, and a thirst of greatness;'Tis second life, it grows into the soul,Warms every vein, and beats in every pulse."
9136,"When love's well-timed 'tis not a fault of love; The strong, the brave, the virtuous, and the wise, Sink in the soft captivity together."
9138,Talk not of love: thou never knew'st its force.
9142,"When love once pleas admission to our hearts, (In spite of all the virtue we can boast), The woman that deliberates is lost."
9204,"When all thy mercies, O my God, My rising soul surveys, Transported with the view, I'm lost In wonder, love and praise."
9260,"Were I laid on Greenland's Coast, And in my Arms embrac'd my Lass; Warm amidst eternal Frost, Too soon the Half Year's Night would pass."
9261,"Macheath: And I would love you all the day, Polly: Every night would kiss and play, Macheath: If with me you'd fondly stray Polly: Over the hills and far away."
9268,"Youth's the season made for joys, Love is then our duty."
9272,"If love be not his Guide, He never will come back!"
9274,Fill it up. I take as large draughts of liquor as I did of love. I hate a flincher in either.
9284,"Silence in love bewrays more woeThan words, though ne'er so witty:A beggar that is dumb, you know, May challenge double pity."
9310,"When love could teach a monarch to be wise, And gospel-light first dawn'd from Bullen's eyes."
