index,quote_text
7314,"Nearly allied to justice are the virtues of beneficence, compassion, gratitude, piety, and friendship."
7318,"We are interested in others, when they are interested in us."
7322,Confidence is the only bond of friendship.
7334,An agreeable companion on a journey is as good as a carriage.
7449,"We met,—'twas in a crowd."
7453,"Friends depart, and memory takes them To her caverns, pure and deep."
7460,"Oh, I have roamed o'er many lands, And many friends I've met;Not one fair scene or kindly smile Can this fond heart forget."
7483,"Each finding like a friendSomething to blame, and something to commend."
7484,"Who ne'er knew joy but friendship might divide, Or gave his father grief but when he died."
7487,"Let me tell you I am better acquainted with you for a long Absence, as men are with themselves for a long affliction: Absence does but hold off a friend, to make one see him the truer."
7490,"Good God! how often are we to die before we go quite off this stage? in every friend we lose a part of ourselves, and the best part."
7558,"And the song, from beginning to end,I found again in the heart of a friend."
7703,"When we two partedIn silence and tears,Half brokenhearted,To sever for years."
7705,"The poor dog, in life the firmest friend,The first to welcome, foremost to defend."
7741,"Friendship may, and often does, grow into love, but love never subsides into friendship."
7748,Friendship is Love without wings.
7823,"So, Willy, let you and me be wipers Of scores out with all men — especially pipers! And, whether they pipe us from rats or from mice, If we've promised them aught, let us keep our promise!"
7902,"The curious crime, the fineFelicity and flower of wickedness."
8001,"John Anderson my jo, John, When we were first acquent, Your locks were like the raven, Your bonny brow was brent."
8009,The golden Hours on angel wings Flew o'er me and my Dearie; For dear to me as light and life Was my sweet Highland Mary.
8327,"Not all his men may sever this,It yields to friends', not monarchs', calls;My whinstone house my castle is— I have my own four walls."
8356,A mystic bond of brotherhood makes all men one.
8476,riend!—Will the ballot-box raise the Noblest to the chief place; does any sane man deliberately believe such a thing?
8659,"And what is friendship but a name,A charm that lulls to sleep,A shade that follows wealth or fame,And leaves the wretch to weep?"
8675,"He calls his extravagance, generosity; and his trusting everybody, universal benevolence."
8677,"Friendship is a disinterested commerce between equals; love, an abject intercourse between tyrants and slaves."
8684,"His best companions, innocence and health;And his best riches, ignorance of wealth."
8706,"I love everything that's old: old friends, old times, old manners, old books, old wines."
8766,"And for the few that only lend their ear,That few is all the world."
8801,Friendship often ends in love; but love in friendship&mdash;never.
8838,And friend received with thumps upon the back.
8878,A friend is worth all hazards we can run.
8879,Friendship's the wine of life; but friendship new(Not such was his) is neither strong nor pure.
9009,"We are so fond of one another, because our ailments are the same."
9011,"…one enemy can do more hurt, than ten friends can do good."
9025,"Under an oak, in stormy weather,I joined this rogue and whore together;And none but he who rules the thunderCan put this rogue and whore asunder."
9099,I thought you and he were hand-in-glove.
